color_hex,color_rgb,aci,aci_name,aci_conf,samples,sources,speed_mean,speed_mode,speed_conf,speed_range,cutter_mode,cutter_ratio,direction_mode,direction_ratio,h1_mean,h1_mode,h2_mean,h2_mode,start_ext_mean,start_ext_mode,end_ext_mean,end_ext_mode,is_output_mode
0x00000000,"(0,0,0)",0,Černá,1.0,30,30,154.0,200,0.799,75.0-300.0,Vibrate cutter,0.967,N/A,0.967,8.0,0.0,0.53,-0.3,0.0,0.0,0.0,0.0,True
0x000000cc,"(0,0,204)",5,Modrá,0.885,8,8,100.0,100,0.76,100.0-100.0,Vibrate cutter,1.0,N/A,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
0x000000ff,"(0,0,255)",5,Modrá,1.0,11,11,109.09,100,0.579,100.0-200.0,Vibrate cutter,0.727,N/A,0.727,0.0,0.0,10.95,15.0,10.0,10.0,10.0,10.0,False
0x00007fff,"(0,127,255)",92,Azurová (tmavá),0.82,1,1,75.0,75,0.62,75.0-75.0,V-slot,1.0,Cut both side,1.0,0.0,0.0,6.0,6.0,2.0,2.0,2.0,2.0,True
0x0000cc00,"(0,204,0)",3,Zelená,0.885,1,1,300.0,300,0.62,300.0-300.0,V-slot,1.0,Cut both side,1.0,0.0,0.0,6.0,6.0,10.0,10.0,10.0,10.0,True
0x0000cccc,"(0,204,204)",52,Tyrkysová,1.0,6,6,195.83,200,0.438,75.0-400.0,V-slot,1.0,Cut both side,0.833,0.0,0.0,6.0,6.0,3.33,2.5,3.33,2.5,True
0x0000ff00,"(0,255,0)",3,Zelená,1.0,15,15,230.0,200,0.708,150.0-500.0,V-slot,1.0,Cut both side,0.667,1.67,0.0,7.4,6.0,1.93,2.0,1.93,2.0,True
0x0000ffff,"(0,255,255)",4,Azurová,1.0,9,9,277.78,300,0.558,100.0-400.0,V-slot,1.0,Left,0.778,2.67,0.0,6.33,6.0,1.89,0.0,1.89,0.0,True
0x005790fa,"(87,144,250)",92,Azurová (tmavá),0.758,1,1,100.0,100,0.62,100.0-100.0,Vibrate cutter,1.0,N/A,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0x0073dd75,"(115,221,117)",8,Tmavě šedá,0.786,1,1,100.0,100,0.62,100.0-100.0,V-slot,1.0,Cut both side,1.0,0.0,0.0,3.0,3.0,0.0,0.0,25.0,25.0,True
0x00800040,"(128,0,64)",1,Červená,0.678,1,1,75.0,75,0.62,75.0-75.0,Vibrate cutter,1.0,N/A,1.0,0.0,0.0,-0.5,-0.5,0.0,0.0,0.0,0.0,False
0x00cc0099,"(204,0,153)",6,Purpurová,0.742,1,1,300.0,300,0.62,300.0-300.0,Vibrate cutter,1.0,N/A,1.0,0.0,0.0,8.0,8.0,1.0,1.0,1.0,1.0,True
0x00ff0000,"(255,0,0)",1,Červená,1.0,8,8,113.75,70,0.464,70.0-200.0,Vibrate cutter,0.625,N/A,0.625,9.0,0.0,1.62,-0.5,0.38,0.0,0.38,0.0,True
0x00ff901e,"(255,144,30)",30,Oranžová,0.917,2,2,72.5,45,0.24,45.0-100.0,Vibrate cutter,1.0,N/A,1.0,0.0,0.0,-0.75,-0.5,0.0,0.0,0.0,0.0,True
0x00ffff00,"(255,255,0)",2,Žlutá,1.0,3,3,100.0,50,0.26,50.0-200.0,Vibrate cutter,0.667,N/A,0.667,0.0,0.0,3.0,0.0,0.67,0.0,0.67,0.0,True
